Start,End,Obs_avg,Exp_best_avg,Bin
-2000,-1975,0.0,0.0,-2000–-1976
-1975,-1950,0.0,0.0,-1975–-1951
-1950,-1925,0.0,0.0,-1950–-1926
-1925,-1900,0.0,0.0125,-1925–-1901
-1900,-1875,0.0,0.054,-1900–-1876
-1875,-1850,0.0,0.0832,-1875–-1851
-1850,-1825,0.0,0.102,-1850–-1826
-1825,-1800,0.0,0.1118,-1825–-1801
-1800,-1775,0.0,0.1139,-1800–-1776
-1775,-1750,0.0,0.1097,-1775–-1751
-1750,-1725,0.0,0.1004,-1750–-1726
-1725,-1700,0.0,0.0871,-1725–-1701
-1700,-1675,0.0,0.0707,-1700–-1676
-1675,-1650,0.0,0.0521,-1675–-1651
-1650,-1625,0.0,0.0323,-1650–-1626
-1625,-1600,0.0,0.0118,-1625–-1601
-1600,-1575,0.0,0.0,-1600–-1576
-1575,-1550,0.0,0.0,-1575–-1551
-1550,-1525,0.0,0.0,-1550–-1526
-1525,-1500,0.0,0.0,-1525–-1501
-1500,-1475,0.0,0.0,-1500–-1476
-1475,-1450,0.0,0.0,-1475–-1451
-1450,-1425,0.0,0.0,-1450–-1426
-1425,-1400,0.0,0.0,-1425–-1401
-1400,-1375,0.0,0.0,-1400–-1376
-1375,-1350,0.0,0.0,-1375–-1351
-1350,-1325,0.0,0.0,-1350–-1326
-1325,-1300,0.0,0.0,-1325–-1301
-1300,-1275,0.0,0.0,-1300–-1276
-1275,-1250,0.0,0.0,-1275–-1251
-1250,-1225,0.0,0.0,-1250–-1226
-1225,-1200,0.0,0.0,-1225–-1201
-1200,-1175,0.0,0.0,-1200–-1176
-1175,-1150,0.0,0.0,-1175–-1151
-1150,-1125,0.0,0.0,-1150–-1126
-1125,-1100,0.0,0.0003,-1125–-1101
-1100,-1075,0.0,0.0219,-1100–-1076
-1075,-1050,0.0,0.0448,-1075–-1051
-1050,-1025,0.0,0.0684,-1050–-1026
-1025,-1000,0.0,0.0922,-1025–-1001
-1000,-975,0.0,0.116,-1000–-976
-975,-950,0.0,0.1396,-975–-951
-950,-925,0.0,0.1626,-950–-926
-925,-900,0.0,0.1847,-925–-901
-900,-875,0.0,0.2057,-900–-876
-875,-850,0.0,0.2253,-875–-851
-850,-825,0.0,0.2433,-850–-826
-825,-800,0.0,0.2595,-825–-801
-800,-775,0.0,0.2737,-800–-776
-775,-750,0.0,0.2857,-775–-751
-750,-725,0.0,0.2954,-750–-726
-725,-700,1.0,0.3028,-725–-701
-700,-675,0.0,0.3077,-700–-676
-675,-650,0.0,0.3102,-675–-651
-650,-625,0.0,0.3104,-650–-626
-625,-600,0.626,0.3082,-625–-601
-600,-575,1.374,0.3039,-600–-576
-575,-550,0.0,0.2976,-575–-551
-550,-525,1.0,0.2896,-550–-526
-525,-500,1.0,0.2803,-525–-501
-500,-475,0.0,0.2699,-500–-476
-475,-450,1.0,0.259,-475–-451
-450,-425,1.0,0.2481,-450–-426
-425,-400,0.0,0.2377,-425–-401
-400,-375,0.0,0.2286,-400–-376
-375,-350,0.0,0.2216,-375–-351
-350,-325,0.0,0.2174,-350–-326
-325,-300,0.0,0.217,-325–-301
-300,-275,0.0,0.2215,-300–-276
-275,-250,0.0,0.2319,-275–-251
-250,-225,0.0,0.2495,-250–-226
-225,-200,0.0,0.2757,-225–-201
-200,-175,0.0,0.3118,-200–-176
-175,-150,2.0,0.3594,-175–-151
-150,-125,0.0,0.4202,-150–-126
-125,-100,0.0,0.496,-125–-101
-100,-75,0.0,0.5885,-100–-76
-75,-50,0.0,0.6999,-75–-51
-50,-25,1.0,0.8322,-50–-26
-25,0,2.0,0.9878,-25–-1
0,25,0.0,1.1691,0–24
25,50,16.0,1.3785,25–49
50,75,3.0,1.6188,50–74
75,100,1.0,1.8928,75–99
100,125,0.0,2.2034,100–124
